Sl. No.,Commodities,KMS 2013-14,KMS 2014-15,KMS 2015-16,KMS 2016-17,KMS 2017-18,KMS 2018-19,KMS 2019-20,KMS 2020-21,KMS 2021-22,KMS 2022-23,KMS 2023-24,KMS 2024-25,% increase 201314 to 2024-25
1,Paddy (Common),1310,1360,1410,1470,1550,1750,1815,1868,1940,2040,2183,2300,75.57
2,Paddy (Grade A),1345,1400,1450,1510,1590,1770,1835,1888,1960,2060,2203,2320,72.49
3,Jowar (Hybrid),1500,1530,1570,1625,1700,2430,2550,2620,2738,2970,3180,3371,124.73
4,Jowar (Maldandi),1520,1550,1590,1650,1725,2450,2570,2640,2758,2990,3225,3421,125.07
5,Bajra,1250,1250,1275,1330,1425,1950,2000,2150,2250,2350,2500,2625,110
6,Ragi,1500,1550,1650,1725,1900,2897,3150,3295,3377,3578,3846,4290,186
7,Maize,1310,1310,1325,1365,1425,1700,1760,1850,1870,1962,2090,2225,69.85
8,Arhar(Tur),4300,4350,4625,5050,5450,5675,5800,6000,6300,6600,7000,7550,75.58
9,Moong,4500,4600,4850,5225,5575,6975,7050,7196,7275,7755,8558,8682,92.93
10,Urad,4300,4350,4625,5000,5400,5600,5700,6000,6300,6600,6950,7400,72.09
11,Cotton (Medium Staple ),3700,3750,3800,3860,4020,5150,5255,5515,5726,6080,6620,7121,92.46
12,Cotton (Long Staple ),4000,4050,4100,4160,4320,5450,5550,5825,6025,6380,7020,7521,88.03
13,Groundnut,4000,4000,4030,4220,4450,4890,5090,5275,5550,5850,6377,6783,69.58
14,Sunflower Seed,3700,3750,3800,3950,4100,5388,5650,5885,6015,6400,6760,7280,96.76
15,Soyabean Yellow,2560,2560,2600,2775,3050,3399,3710,3880,3950,4300,4600,4892,91.09
16,Sesamum,4500,4600,4700,5000,5300,6249,6485,6855,7307,7830,8635,9267,105.93
17,Nigerseed,3500,3600,3650,3825,4050,5877,5940,6695,6930,7287,7734,8717,149.06
